Ingredient,Label,Usage_Count,Mean_Rank,Std_Rank,Median_Rank,Mean_Price,Dry_Rate,Oily_Rate,Normal_Rate,Combination_Rate,Brand_Count
sucrose,Moisturizer,24,4.216666666666667,0.29439202887759497,4.2,87.66666666666667,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.625,9
acetyl hexapeptide,Moisturizer,19,4.221052631578948,0.34573423860342517,4.2,106.89473684210526,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.42105263157894735,8
polyacrylamide,Moisturizer,8,4.175,0.2251983252919208,4.15,114.375,0.75,0.5,0.75,0.75,6
glucose,Moisturizer,8,4.0874999999999995,0.3136763573220926,4.15,123.875,0.625,0.875,0.875,0.75,5
caprylic capric triglyceride,Moisturizer,77,4.257142857142857,0.5523701494060728,4.3,84.63636363636364,0.7012987012987013,0.6233766233766234,0.7792207792207793,0.7532467532467533,40
c isoparaffin,Moisturizer,9,4.155555555555555,0.2185812841434001,4.1,112.22222222222223,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,6
tocopheryl acetate,Moisturizer,106,4.273584905660377,0.28023863531349846,4.3,68.65094339622641,0.5188679245283019,0.5377358490566038,0.5754716981132075,0.5849056603773585,36
tetrahexyldecyl ascorbate,Moisturizer,27,4.2444444444444445,0.3250246538972478,4.2,88.29629629629629,0.7407407407407407,0.7037037037037037,0.7777777777777778,0.7407407407407407,15
urea,Moisturizer,19,3.9631578947368418,1.0150043931573178,4.3,62.78947368421053,0.7368421052631579,0.5789473684210527,0.6842105263157895,0.6842105263157895,10
dipalmitoyl hydroxyproline,Moisturizer,7,4.171428571428571,0.4309458036856674,4.2,135.57142857142858,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.5714285714285714,5
laureth,Moisturizer,16,4.3125,0.34034296427770233,4.25,81.6875,0.5,0.6875,0.5625,0.8125,10
trehalose,Moisturizer,42,4.238095238095237,0.3260647705762117,4.25,61.04761904761905,0.5,0.5476190476190477,0.5476190476190477,0.5952380952380952,15
polyquaternium,Moisturizer,9,4.066666666666666,0.4062019202317979,4.0,106.88888888888889,0.8888888888888888,0.5555555555555556,0.8888888888888888,0.7777777777777778,7
disodium edta,Moisturizer,108,4.2749999999999995,0.274159718780621,4.3,72.04629629629629,0.6111111111111112,0.6203703703703703,0.6944444444444444,0.6851851851851852,35
bht,Moisturizer,43,4.188372093023256,0.28553150299512986,4.2,87.76744186046511,0.6511627906976745,0.5581395348837209,0.6744186046511628,0.627906976744186,19
potassium sorbate,Moisturizer,49,4.26530612244898,0.26422135638526284,4.2,63.95918367346939,0.6122448979591837,0.6326530612244898,0.673469387755102,0.6938775510204082,24
butylene glycol dicaprylate dicaprate,Moisturizer,8,4.0874999999999995,0.15526475085202965,4.1,55.75,0.875,0.75,1.0,1.0,4
butyloctyl salicylate,Moisturizer,8,4.1625,0.26692695630078295,4.1,54.5,0.625,0.5,0.625,0.625,4
cetyl peg ppg dimethicone,Moisturizer,6,4.083333333333333,0.1602081978759722,4.1,36.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,3
cyclohexasiloxane,Moisturizer,21,4.323809523809523,0.2981690156685665,4.4,58.142857142857146,0.9047619047619048,0.8095238095238095,1.0,0.9047619047619048,13
polyglyceryl isostearate,Moisturizer,6,4.083333333333333,0.1602081978759722,4.1,36.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,3
dimethicone vinyl dimethicone crosspolymer,Moisturizer,17,4.205882352941177,0.2075770586893399,4.2,59.88235294117647,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.8235294117647058,13
aluminum hydroxide,Moisturizer,14,4.1571428571428575,0.16035674514745474,4.15,47.214285714285715,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,10
hexyl laurate,Moisturizer,7,4.128571428571428,0.18898223650461374,4.1,36.857142857142854,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,4
stearic acid,Moisturizer,55,4.178181818181818,0.6241114896516098,4.3,59.90909090909091,0.6545454545454545,0.5818181818181818,0.6909090909090909,0.6727272727272727,29
triethoxycaprylylsilane,Moisturizer,12,4.158333333333333,0.17298624923456338,4.15,46.583333333333336,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,9
ethylhexylglycerin,Moisturizer,80,4.28375,0.28791865500299596,4.3,63.0875,0.7125,0.6875,0.7875,0.7875,35
citrus aurantium bergamia fruit oil,Moisturizer,12,4.283333333333334,0.36639108100829126,4.35,47.416666666666664,0.9166666666666666,0.75,0.9166666666666666,0.8333333333333334,7
citrus aurantium dulcis peel oil,Moisturizer,16,4.293749999999999,0.27681221071332823,4.3,44.8125,0.875,0.8125,0.875,0.8125,9
vitis vinifera seed oil,Moisturizer,17,4.288235294117648,0.27586761530935566,4.3,66.0,0.9411764705882353,0.7647058823529411,0.9411764705882353,0.8823529411764706,9
punica granatum seed oil,Moisturizer,6,4.25,0.30166206257996714,4.2,51.333333333333336,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,5
persea gratissima oil,Moisturizer,12,4.275,0.23788843832962783,4.2,73.25,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,9
niacinamide,Moisturizer,30,4.266666666666667,0.24259137394524913,4.3,77.6,0.8333333333333334,0.8,0.9,0.8333333333333334,13
citrus grandis peel oil,Moisturizer,9,4.277777777777778,0.258736244937667,4.2,40.77777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,6
olea europaea leaf extract,Moisturizer,5,4.1,0.21213203435596445,4.1,39.6,0.8,0.8,0.8,0.8,2
camellia sinensis leaf extract,Moisturizer,51,4.278431372549019,0.2886615495629414,4.3,64.47058823529412,0.6470588235294118,0.6274509803921569,0.7058823529411765,0.7450980392156863,21
cinnamomum cassia bark extract,Moisturizer,5,4.18,0.37013511046643494,4.1,55.8,0.8,0.8,0.8,0.8,3
curcuma longa root extract,Moisturizer,16,4.225,0.2695675549220764,4.15,48.125,0.875,0.875,0.875,0.875,7
hydrolyzed hyaluronic acid,Moisturizer,14,4.207142857142856,0.2555966946767315,4.2,72.57142857142857,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.9285714285714286,8
colloidal oatmeal,Moisturizer,7,4.157142857142857,0.26367367999823094,4.2,41.42857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,2
hydrolyzed silk,Moisturizer,6,4.133333333333334,0.20655911179772904,4.15,53.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,3
aloe barbadensis leaf extract,Moisturizer,14,4.1642857142857155,0.2706321456179186,4.2,49.357142857142854,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,6
n hydroxysuccinimide,Moisturizer,6,4.066666666666667,0.24221202832779948,4.0,53.333333333333336,1.0,1.0,1.0,1.0,2
hydrolyzed collagen,Moisturizer,9,4.044444444444444,0.2743679605525721,4.1,41.22222222222222,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7777777777777778,2
caprylhydroxamic acid,Moisturizer,5,4.220000000000001,0.21679483388678822,4.3,60.8,1.0,1.0,1.0,1.0,2
retinyl palmitate,Moisturizer,12,4.175,0.29580398915498085,4.25,60.5,0.5833333333333334,0.5,0.5,0.5,7
palmitoyl oligopeptide,Moisturizer,10,4.11,0.3281259920619925,4.15,65.7,0.3,0.3,0.3,0.3,5
folic acid,Moisturizer,5,4.2,0.29154759474226505,4.1,38.4,1.0,0.8,1.0,1.0,3
chrysin,Moisturizer,6,4.066666666666667,0.24221202832779948,4.0,53.333333333333336,1.0,1.0,1.0,1.0,2
biotin,Moisturizer,9,4.222222222222222,0.24381231397213005,4.2,58.888888888888886,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,6
ascorbic acid,Moisturizer,16,4.21875,0.3187867625859016,4.25,54.1875,0.5,0.5625,0.5625,0.625,12
propanediol,Moisturizer,59,4.2898305084745765,0.2346640410387445,4.3,73.91525423728814,0.7627118644067796,0.7627118644067796,0.847457627118644,0.8305084745762712,31
sodium chloride,Moisturizer,17,4.264705882352941,0.2620619594451574,4.2,63.294117647058826,0.6470588235294118,0.8235294117647058,0.8235294117647058,0.9411764705882353,14
sodium citrate,Moisturizer,34,4.147058823529411,0.7731224741729483,4.25,76.88235294117646,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.6176470588235294,17
mica,Moisturizer,32,4.18125,0.29993278816987456,4.2,59.125,0.5625,0.53125,0.59375,0.59375,22
dimethicone peg crosspolymer,Moisturizer,5,3.4800000000000004,1.9473058311420937,4.4,87.8,0.6,0.8,0.8,0.8,5
tin oxide,Moisturizer,8,4.1375,0.21998376563477867,4.2,53.0,0.75,0.75,0.875,0.875,7
titanium dioxide,Moisturizer,34,4.147058823529412,0.26881929732955523,4.2,58.05882352941177,0.6176470588235294,0.5588235294117647,0.6470588235294118,0.6764705882352942,19
parfum fragrance,Moisturizer,12,4.291666666666667,0.17298624923456332,4.3,73.16666666666667,0.75,0.5833333333333334,0.75,0.75,6
alcohol,Moisturizer,40,4.285,0.2607189271502147,4.3,71.75,0.725,0.55,0.85,0.8,14
isopropyl isostearate,Moisturizer,7,4.328571428571429,0.16035674514745465,4.3,98.28571428571429,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,6
passiflora edulis seed oil,Moisturizer,5,4.140000000000001,0.2966479394838266,4.2,54.8,0.4,0.4,0.4,0.4,2
sodium hyaluronate crosspolymer,Moisturizer,9,4.344444444444445,0.11303883305208783,4.4,83.11111111111111,0.8888888888888888,0.8888888888888888,1.0,1.0,4
ceteareth,Moisturizer,17,4.247058823529411,0.19078013215093823,4.3,66.76470588235294,0.8235294117647058,0.7058823529411765,0.8235294117647058,0.8235294117647058,14
trisodium ethylenediamine disuccinate,Moisturizer,5,4.4,0.1414213562373093,4.4,78.0,1.0,1.0,1.0,1.0,2
sodium hydroxide,Moisturizer,57,4.287719298245614,0.23150916013857895,4.3,64.24561403508773,0.6842105263157895,0.6666666666666666,0.7543859649122807,0.7368421052631579,26
squalane,Moisturizer,61,4.337704918032786,0.2870330610610502,4.4,63.557377049180324,0.7213114754098361,0.6065573770491803,0.7704918032786885,0.7213114754098361,31
bis peg methyl ether dimethyl silane,Moisturizer,9,4.366666666666667,0.34641016151377546,4.4,40.22222222222222,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,7
sucrose stearate,Moisturizer,5,4.18,0.1923538406167136,4.2,64.4,0.8,0.6,0.8,0.8,4
